"id","from_state","from_label","trigger","guard","action","to_state","to_label"
"T017B","MIGRATION_ACTION","User choice on migration screen","user","Migrate","","USER_STARTS_MIGRATION","User chooses Migrate"
"T017C","MIGRATION_DEFERRED","Migration deferred (DB cannot open until upgraded)","show","","Offer retry migration, import different, or create new","MIGRATION_DEFERRED_ACTION","User choice after migration deferred"
"T017D","MIGRATION_DEFERRED_ACTION","User choice after migration deferred","user","Retry migration","","MIGRATION_SCREEN","Show DB schema upgrade screen"
"T017E","MIGRATION_DEFERRED_ACTION","User choice after migration deferred","user","Import Different","","IMPORT_PICKER","SAF picker for existing DB"
"T017F","MIGRATION_DEFERRED_ACTION","User choice after migration deferred","user","Create New","","DEL_SRC_MIGRATION_DEFERRED","Set delete-confirm source = migration deferred"
"T018","USER_STARTS_MIGRATION","User chooses Migrate","continue","","Execute stepwise migration chain (representative)","RUN_MIGRATIONS","Run stepwise migration chain (representative)"
"T019","RUN_MIGRATIONS","Run stepwise migration chain (representative)","complete","","Evaluate migration result","MIGRATION_RESULT","Migration completed successfully?"
"T019A","MIGRATION_RESULT","Migration completed successfully?","resolved","Yes","","MIGRATION_SUCCESS","Migration completed successfully"
"T019B","MIGRATION_RESULT","Migration completed successfully?","resolved","No","Show migration failure options","MIGRATION_FAILED","Migration failed"
"T019C","MIGRATION_FAILED","Migration failed","show","","Offer retry, import different, or create new","MIGRATION_FAILED_ACTION","User choice after migration failure"
"T019D","MIGRATION_FAILED_ACTION","User choice after migration failure","user","Retry","","RUN_MIGRATIONS","Run stepwise migration chain (representative)"
"T019E","MIGRATION_FAILED_ACTION","User choice after migration failure","user","Import Different","","IMPORT_PICKER","SAF picker for existing DB"
"T019F","MIGRATION_FAILED_ACTION","User choice after migration failure","user","Create New","","DEL_SRC_MIGRATION_FAILED","Set delete-confirm source = migration failure"
"T019F1","DEL_SRC_DB_ISSUE_FLOW","Set delete-confirm source = metadata-corruption issue flow","continue","","","DELETE_EXISTING_DB_CONFIRM","Confirm delete current DB artifacts before Create New"
"T019F1A","DEL_SRC_ISSUE_SCHEMA_IRREPARABLE","Set delete-confirm source = schema irreparable issue","continue","","","DELETE_EXISTING_DB_CONFIRM","Confirm delete current DB artifacts before Create New"
"T019F1B","DEL_SRC_ISSUE_TOO_OLD","Set delete-confirm source = unsupported old DB issue","continue","","","DELETE_EXISTING_DB_CONFIRM","Confirm delete current DB artifacts before Create New"
"T019F1C","DEL_SRC_ISSUE_TOO_NEW","Set delete-confirm source = newer-than-supported DB issue","continue","","","DELETE_EXISTING_DB_CONFIRM","Confirm delete current DB artifacts before Create New"
"T019F1D","DEL_SRC_ISSUE_SIDECAR_MISSING","Set delete-confirm source = sidecar metadata issue","continue","","","DELETE_EXISTING_DB_CONFIRM","Confirm delete current DB artifacts before Create New"
"T019F2","DEL_SRC_DB_REPAIR_FAILED","Set delete-confirm source = repair failed flow","continue","","","DELETE_EXISTING_DB_CONFIRM","Confirm delete current DB artifacts before Create New"
"T019F3","DEL_SRC_PLAINTEXT_DB","Set delete-confirm source = plaintext local DB flow","continue","","","DELETE_EXISTING_DB_CONFIRM","Confirm delete current DB artifacts before Create New"
"T019F4","DEL_SRC_PLAINTEXT_ENCRYPT_FAILED","Set delete-confirm source = plaintext encryption failure","continue","","","DELETE_EXISTING_DB_CONFIRM","Confirm delete current DB artifacts before Create New"
"T019F5","DEL_SRC_UNFINALIZED_DB","Set delete-confirm source = unfinalized DB flow","continue","","","DELETE_EXISTING_DB_CONFIRM","Confirm delete current DB artifacts before Create New"
"T019F7","DEL_SRC_MIGRATION_DEFERRED","Set delete-confirm source = migration deferred","continue","","","DELETE_EXISTING_DB_CONFIRM","Confirm delete current DB artifacts before Create New"
"T019F8","DEL_SRC_MIGRATION_FAILED","Set delete-confirm source = migration failure","continue","","","DELETE_EXISTING_DB_CONFIRM","Confirm delete current DB artifacts before Create New"
"T019G","DELETE_EXISTING_DB_CONFIRM","Confirm delete current DB artifacts before Create New","show","","Confirm deletion before creating a fresh DB","DELETE_EXISTING_DB_DECISION","Delete current DB artifacts?"
"T019H","DELETE_EXISTING_DB_DECISION","Delete current DB artifacts?","user","No","Cancel destructive action and return to source flow","DELETE_CONFIRM_CANCEL_ROUTE","Return by delete-confirm source"
"T019H1","DELETE_CONFIRM_CANCEL_ROUTE","Return by delete-confirm source","resolved","Metadata corruption issue flow","Return to metadata corruption recovery choices","DB_ISSUE_ACTION","User choice after metadata corruption issue"
"T019H1A","DELETE_CONFIRM_CANCEL_ROUTE","Return by delete-confirm source","resolved","Schema irreparable issue","Return to schema-irreparable issue choices","DB_ISSUE_SCHEMA_IRREPARABLE_ACTION","User choice after schema-irreparable issue"
